team name,name1,name2,name3,name4,Institution-scale,institution,institution
InstiH6,Mohaupt Ji,Clepper Sommer,Lench Boris,Prazak Brendan,c,InstiH,
InstiH7,Pa Leigh,Fiorito Burl,Kevorkian Floria,Delatte Travis,c,InstiH,
InstiH8,Loiacona Jettie,Leaser Thersa,Reado Erinn,Drimmer Mickey,c,InstiH,
InstiH9,Branner Lavette,Trumball Rod,Klonoski Stacie,Stollar Tommie,c,InstiH,
InstiH10,Clanin Corey,Duso Maxima,Gullette Joanna,Alder Linnie,c,InstiH,
InstiH11,Stockfisch Buford,Knoepke Columbus,Bintliff Mitchel,Ferre Diann,c,InstiH,
InstiH12,Skillett Clora,Guerra Orval,Duenke Myrl,Dundas Verlie,c,InstiH,
InstiIII6,Dilucca Stephaine,Hagert Elli,Vanandel Sherlyn,Halperin Corey,c,InstiIII,
InstiIII7,Stillie Desiree,Havenhill Kenda,Pafford Elise,Lohry Glen,c,InstiIII,
InstiIII8,Scheyer Delana,Flecher Dan,Blackie Henry,Margotta Brandon,c,InstiIII,
InstiIII9,Schnell Risa,Poltorak Sydney,Neloms Cedrick,Scalet Genia,c,InstiIII,
InstiIII10,Curlin Elfrieda,Jaffy Corrina,Koles Fausto,Pereyra Devin,c,InstiIII,
InstiIII11,Minock Buena,Wisser Luann,Kalahiki Kanisha,Pecore Davida,c,InstiIII,
InstiIII12,Celestino Mana,Ouimette Zonia,Howerter Keena,Jameson Pauletta,c,InstiIII,
InstiIII13,Ljungquist Samual,Alexandria Allie,Gosha Chu,Tubeszewski Lashaun,c,InstiIII,
InstiJ1,Ehmer Jonnie,Alvelo Johanne,Jenderer Werner,Strozewski Ivey,c,InstiJ,
InstiJ2,Carlin Cody,Longest Jane,Stapleford Millard,Tkach Yahaira,c,InstiJ,
InstiJ3,Merlino Temeka,Vanbibber Chang,Pelto Monroe,Dauterive Maragret,c,InstiJ,
InstiJ4,Rovinsky Kiesha,Abolafia Jan,Lasseter Crissy,Gathers Tempie,c,InstiJ,
InstiJ5,Hannah Jerry,Woodrum Meredith,Postier Vikki,Lippy Jerrica,c,InstiJ,
InstiJ6,Amigon Hipolito,Rosenbalm Delsie,Ake Thora,Suhoski Margrett,c,InstiJ,
InstiJ7,Swindle Iola,Genest Iraida,Somerville Soila,Raoof Machelle,c,InstiJ,
InstiJ8,Elkayam Luis,Vaneaton Luther,Lalley Adrianna,Tredennick Alvin,c,InstiJ,
InstiJ9,Reigleman Bree,Mccredie Retha,Hartung Tricia,Lemming Wonda,c,InstiJ,
InstiK1,Deignan Hank,Hennig Bryan,Brundidge Dennis,Beitel Delpha,c,InstiK,InstiJ
InstiK2,Mugica Emelda,Gouveia Wally,Turnbull Jamey,Norma Georgeanna,c,InstiK,
InstiK3,Acree Derek,Machacek Suk,Stoutamire Raul,Choulnard Lon,c,InstiK,
InstiK4,Panto Darby,Kinner Natalya,Perciballi Jim,Wieloch Jacinta,c,InstiK,
InstiK5,Alcalde Hildred,Masino Winter,Kearsley Willard,Rach Bernadette,c,InstiK,
InstiK6,Busby Gus,Fendt Edwardo,Ebsen Shae,Territo Ai,c,InstiK,
InstiK7,Axelsen Ivelisse,Towey Henrietta,Heathcock Ahmed,Solid Caryl,c,InstiK,
InstiC1,Thwaites Ula,Esche Michal,Bozelle Brooks,Wheler Mariano,b,InstiC,
InstiC2,Keding Jonathon,Shingleur Joaquina,Vargis Willodean,Gove Odell,b,InstiC,
InstiC3,Prisbrey Terri,Colas Scarlett,Braulio Shanta,Macedo Dino,b,InstiC,
InstiC4,Winkeljohn Carmelina,Bolf Sherron,Christenson Shawanna,Lefaver Keenan,b,InstiC,
InstiC5,Cistrunk Toney,Ibach Elenor,Fleischmann Lolita,Pietzsch Trish,b,InstiC,
InstiII3,Hettinger Robbin,Koulabout Marceline,Euber Cyrstal,Madamba Andra,b,InstiII,
InstiII4,Castor Marcelina,Carangelo Leandra,Crisco Rene,Grotberg Sharleen,b,InstiII,
InstiII5,Moudry Hwa,Eifler Nery,Moleski Violeta,Mcgowin Keira,b,InstiII,
InstiL1,Hardinson Cherise,Coonradt Georgianna,Nacol Tawny,Yarberry Marva,b,InstiL,
InstiL2,Kaschmitter Vernell,Niedbalski Connie,Woolem Patience,Morante Sylvia,b,InstiL,InstiK
InstiL3,Brunken Alysia,Fordham Blanche,Leverton Melodi,Chaparro Evan,b,InstiL,
InstiM1,Islas Jammie,Raleigh Lu,Scorzelli Marivel,Moccio Paris,b,InstiM,
InstiM2,Guzy Neely,Overland Katie,Holycross Melaine,Liebeck Val,b,InstiM,
InstiM3,Zhu Sol,Gandee Carolyn,Valenta Cornelius,Corigliano Dawn,b,InstiM,
InstiI1,Roman Jesus,Himber Dustin,Low Sherry,Outlaw Angelo,a,InstiI,
InstiI2,Tllo Laurinda,Maceda Inell,Frisbee Odis,Ostiguy Virginia,a,InstiI,
InstiIIII14,Waldrop Charlie,Clusky Jeffery,Honigsberg Krystal,Timmermans Mirna,a,InstiIIII,
